行政區域代碼,業者名稱店名,食品業者登錄字號,地址,評核結果
63000050,頂呱呱-新光站前店,A-122368753-00136-4,臺北市中正區忠孝西路1段66號地下1樓,優
63000050,璽品鱻-新光站前店,A-202260248-00002-5,臺北市中正區忠孝西路1段66號地下1樓,優
63000050,MAㄒDA JUICE-新光站前店,A-197315006-00002-1,臺北市中正區忠孝西路1段66號地下1樓,優
63000050,進發家-新光站前店,A-182873559-00009-4,臺北市中正區忠孝西路1段66號地下1樓,優
63000050,三年五班-新光站前店,A-182856616-00002-2,臺北市中正區忠孝西路1段66號地下1樓,優
63000020,小南門豆花_統一時代百貨台北店,A-128544068-00019-5,臺北市信義區忠孝東路5段8號B2,優
63000020,美珍香_統一時代百貨台北店,A-200024802-00002-7,臺北市信義區忠孝東路5段8號B2,優
63000020,迷客夏_統一時代百貨,A-128949151-00376-3,臺北市信義區忠孝東路5段8號B2,優
63000020,好丘_統一時代百貨,A-180672628-00009-6,臺北市信義區忠孝東路5段8號B2,優
63000020,蔬河_統一時代百貨,A-154675966-00017-4,臺北市信義區忠孝東路5段8號B2,優
63000020,稻舍食館_統一時代百貨,A-153928128-00005-1,臺北市信義區忠孝東路5段8號B2,優
63000040,小南門點心世界-誠品南西店,A-128544068-00031-9,臺北市中山區南京西路14號B1,優
63000040,名廚排骨-誠品南西店,A-123580509-00002-2,臺北市中山區南京西路14號B1,優
63000040,VEGE CREEK蔬河-誠品南西店,A-154675966-00006-2,臺北市中山區南京西路14號B1,優
63000040,繼光香香雞-誠品南西店,A-124435384-00067-4,臺北市中山區南京西路14號B1,優
63000040,肉的長谷川-誠品南西店,A-193547309-00002-0,臺北市中山區南京西路14號B1,優
63000050,泉發蜂蜜_微風台北車店,A-125108990-00002-4,臺北市中正區北平西路3號1樓,優
63000050,原味德里_微風台北車站店,A-143663289-00002-1,臺北市中正區北平西路3號2樓,優
63000050,扒飯眷村菜_微風台北車站,A-200055031-00002-5,臺北市中正區北平西路3號2樓,優
63000050,一鼎蚵仔煎_微風台北車站店,A-129220030-00002-8,臺北市中正區北平西路3號2樓,優
63000050,齊媽媽雞湯麵_微風台北車站,A-200247422-00003-3,臺北市中正區北平西路3號2樓,優
63000050,厝內食堂_微風台北車站,A-200157847-00005-6,臺北市中正區北平西路3號2樓,優
63000050,料杯杯-微風北車店,A-180617317-00045-0 ,臺北市中正區北平西路3號2樓,優
63000050,鬍子茶_微風台北車站,A-190624647-00001-7 ,臺北市中正區北平西路3號2樓,優
63000050,日出茶太_台北車站微風店,A-180671769-00290-3,臺北市中正區北平西路3號2樓,優
63000030,興葉蚵仔煎_SOGO忠孝館,A-118408439-00002-7,臺北市大安區忠孝東路4段45號B1,優
63000030,東洋排骨滷肉飯_SOGO忠孝館,A-128011648-00001-9,臺北市大安區忠孝東路4段45號B1,優
63000030,九如_SOGO忠孝館,A-197290321-00001-2,臺北市大安區忠孝東路4段45號B1,優
63000030,韓京_SOGO忠孝館,A-180683126-00001-3,臺北市大安區忠孝東路4段45號B1,優
63000030,韓舍泡菜鍋_SOGO忠孝館,A-127369274-00001-9,臺北市大安區忠孝東路4段45號B1,優
63000030,SNOW FACTORY_SOGO門市,A-124329659-00003-1,臺北市大安區忠孝東路4段45號B1,優
63000030,I'm PASTA PLUS_SOGO忠孝店,A-200169709-00001-2,臺北市大安區忠孝東路4段45號B1,優
63000030,大師兄銷魂麵舖_忠孝SOGO店,A-185068297-00000-3,臺北市大安區忠孝東路4段45號B1,優
63000030,gonnaExpress_忠孝SOGO店,A-155734837-00004-4,臺北市大安區忠孝東路4段45號B1,優
63000030,FutiFudi 果滴滴_忠孝SOGO店,A-150770088-00004-7,臺北市大安區忠孝東路4段45號B1,優
63000030,皇品珍中華料理_SOGO忠孝店,A-154737463-00015-3,臺北市大安區忠孝東路4段45號B1,優
63000030,這味泰泰_SOGO忠孝店,A-124970174-00010-3,臺北市大安區忠孝東路4段45號B1,優
63000030,凱林鐵板燒_SOGO復興店,A-169560962-00001-2,臺北市大安區忠孝東路3段300號B2,優
63000030,葉味香蚵仔煎_SOGO復興館,A-180691126-00004-5,臺北市大安區忠孝東路3段300號B2,優
63000030,Häagen-Dazs_SOGO復興店,A-186384960-00010-3,臺北市大安區忠孝東路3段300號B2,優
63000030,小南門_SOGO復興館,A-128544068-00023-0,臺北市大安區忠孝東路3段300號B2,優
63000030,韓鶴亭_SOGO復興館,A-150902243-00002-5,臺北市大安區忠孝東路3段300號B2,優
63000030,Mada Juice_SOGO復興館,A-197315006-00001-0,臺北市大安區忠孝東路3段300號B2,優
63000030,jamba juice_SOGO復興館,A-154055473-00041-6,臺北市大安區忠孝東路3段300號B2,優
63000110,廣安階_天母SOGO店,A-154680222-00009-6,臺北市士林區中山北路6段77號8樓,優
63000110,皇品珍中華料理_天母SOGO店,A-154737463-00004-1,臺北市士林區中山北路6段77號8樓,優
63000110,Capricciosa_天母店 ,A-127748310-00004-4,臺北市士林區中山北路6段77號8樓,優
63000110,非常泰_天母SOGO店,A-113137752-00002-9,臺北市士林區中山北路6段77號8樓,優
